student_id,age,gender,region,school_type,socio_economic,parent_education,parent_income,enrollment_date,graduation_year,school_rank,previous_gpa,attendance_rate,study_hours_per_week,num_extracurriculars,internet_access,math_score,physics_score,chemistry_score,biology_score,literature_score,english_score,math_level,physics_level,literature_level,english_level,communication,teamwork,leadership,problem_solving,preferred_option,satisfaction
S101846,16,Other,Monastir,Public,Medium,Bachelor,18767.0,2022-01-18,2024,40,14.29,0.907,7.86,1,Mobile only,12.7,5.32,8.12,13.16,14.93,9.91,C,D,B,D,6.4,6.01,8.75,5.2,Letters,2.0
S101471,18,F,Bizerte,Public,Medium,Master,14337.0,2021-10-19,2025,62,12.93,0.903,6.66,2,Home+Mobile,10.17,9.26,9.54,12.97,9.17,8.83,C,D,D,D,6.0,7.38,4.32,7.14,Engineering,3.0
S101778,17,F,Sfax,Public,Low,None,43657.0,2022-01-19,2023,405,8.5,0.827,1.81,1,None,9.85,15.3,18.67,12.1,16.86,10.34,D,B,A,C,5.35,5.48,4.11,5.61,Arts,2.0
S101411,16,M,Sfax,Public,Medium,Primary,38125.0,2022-06-03,2024,282,15.75,0.89,5.83,2,Mobile only,9.82,10.42,,6.62,7.42,13.9,D,C,D,B,8.51,7.67,5.07,10.0,Arts,2.0
S100386,17,M,Tozeur,Publc,Medium,Primary,35893.0,2022-03-22,2023,439,10.72,0.868,0.93,1,Mobile only,10.95,12.92,13.25,9.89,12.27,20.0,C,C,C,A,5.9,4.84,3.92,3.53,Letters,3.0
S100350,18,F,Sfax,Public,Low,PhD,40624.0,2021-10-07,2024,111,9.74,0.956,6.88,2,Mobile only,16.45,16.22,,11.83,18.0,15.93,A,A,A,B,6.3,5.34,7.49,3.74,Engineering,3.0
S100311,16,F,Gafsa,Public,Low,Bachelor,27757.0,2022-06-01,2024,490,7.67,0.788,3.56,4,Home+Mobile,14.1,12.97,8.25,8.86,12.13,5.0,B,C,C,D,8.53,3.06,5.2,10.0,Health,2.0
S101931,18,M,Tunis,International,Low,Secondary,5019.0,2022-01-07,2025,98,10.19,0.812,0.25,1,School only,7.46,10.97,10.68,7.13,9.81,13.01,D,C,D,B,4.65,6.97,6.38,5.01,Letters,3.0
S100840,15,M,Monastir,Public,Medium,Secondary,28595.0,2021-10-30,2023,25,10.66,0.947,4.03,0,Mobile only,12.1,10.2,9.7,14.57,9.57,12.82,C,C,D,C,5.64,3.59,7.27,6.62,Engineering,2.0
S100492,17,F,Gafsa,Public,Low,Secondary,4356.0,2021-09-03,2024,43,16.51,0.955,12.21,3,None,11.52,19.86,12.36,15.89,15.9,11.6,C,A,B,C,8.14,5.23,6.93,9.09,Arts,2.0
S101829,17,M,Sfax,Publc,Medium,Bachelor,47235.0,2021-12-04,2024,404,14.48,0.934,1.43,1,None,20.0,9.86,13.64,16.05,17.25,10.55,A,D,A,C,,7.94,5.62,5.85,Letters,3.0
S100488,20,F,Kairouan,Private,Low,Bachelor,7989.0,2021-11-01,2023,135,9.42,0.85,1.38,1,Home+Mobile,5.96,15.06,14.63,,15.75,2.17,D,B,B,D,,4.86,5.42,8.61,Letters,2.0
S101930,18,F,Gafsa,Public,Low,Master,9133.0,2021-10-10,2024,35,17.63,0.906,1.75,3,Home+Mobile,13.15,13.49,9.67,13.24,12.7,17.51,B,B,C,A,8.6,5.79,3.47,4.57,Science,3.0
S100705,21,F,Sfax,Public,High,Primary,16636.0,2022-01-07,2023,2,12.11,0.833,1.53,0,Home+Mobile,10.12,13.47,7.68,11.07,9.74,11.07,C,B,D,C,4.28,7.21,6.3,6.49,Economics,
S101388,20,M,Gafsa,Public,Medium,Primary,1000.0,2022-05-09,2024,28,13.55,0.894,0.35,4,Home+Mobile,6.26,10.26,6.72,7.1,11.85,13.47,D,C,C,B,4.4,7.11,6.2,3.78,Letters,3.0
S100971,20,M,Tunis,Public,Low,Primary,12799.0,2022-12-24,2023,400,9.93,0.929,2.35,2,Home+Mobile,13.73,13.93,13.37,13.44,17.0,,B,B,A,C,7.47,5.69,6.16,3.9,Engineering,2.0
S101963,17,F,Gabes,International,Low,Secondary,28011.0,2021-12-28,2024,334,8.35,0.984,4.73,1,Home+Mobile,17.11,8.32,13.0,20.0,15.34,11.19,A,D,B,C,5.02,5.88,6.93,5.38,Letters,2.0
S100976,18,F,Kairouan,Public,Low,None,15440.0,2021-10-19,2024,55,13.05,0.893,2.86,1,Home+Mobile,13.53,12.7,4.73,5.55,9.88,7.29,B,C,D,D,4.7,7.25,5.76,4.63,Economics,3.0
S101342,19,F,Nabeul,Vocational,Medium,Secondary,29064.0,2023-09-20,2024,264,17.27,0.914,3.61,2,Home+Mobile,12.16,10.29,15.82,13.38,15.0,12.67,C,C,B,C,6.67,6.13,9.21,8.73,Letters,2.0
S100396,19,M,Tozeur,Public,Low,Secondary,15348.0,2022-11-08,2025,122,14.43,0.865,2.7,0,Mobile only,8.77,11.59,15.13,3.55,13.1,12.26,D,C,B,C,5.94,4.03,1.99,5.11,Arts,3.0
